X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
1759755.1161,5906654.2844,439419,6649-7115dcc7,6649,Jordan Road,,Stop,-36.97267,174.79476,,Bus
1759849.2198,5906922.2098,439420,6650-1f6095a2,6650,Cape Road,,Stop,-36.97024,174.79576,,Bus
1759839.2599,5906913.5186,439421,6651-cea75345,6651,Cape Road,,Stop,-36.97032,174.79565,,Bus
1758927.6783,5907311.341,439422,6653-f4c82b8f,6653,Idlewild Avenue,,Stop,-36.96689,174.78533,,Bus
1759514.9461,5906384.6689,439423,6656-2ffe3056,6656,Mangere Central Community Hall,,Stop,-36.97514,174.79212,,Bus
1759504.1387,5906378.213,439424,6657-34240595,6657,Mangere Central Community Hall,,Stop,-36.9752,174.792,,Bus
1758923.1366,5906736.515,439425,6659-406a17d6,6659,Richard Pearse Drive,,Stop,-36.97207,174.7854,,Bus
1758877.6698,5906686.3133,439426,6660-71b7215d,6660,Richard Pearse Drive,,Stop,-36.97253,174.7849,,Bus
1768091.1024,5900845.7253,439427,6661-02f5dd28,6661,Manurewa Recreation Centre,,Stop,-37.02355,174.88966,,Bus
1758825.6209,5906379.8554,439428,6662-19c9d938,6662,Brigade Road,,Stop,-36.9753,174.78438,,Bus
1758851.8048,5906589.1297,439429,6663-2258465e,6663,Ascot Road,,Stop,-36.97341,174.78463,,Bus
1758766.0869,5906149.0085,439430,6665-26a7c1a5,6665,Amelia Earhart Avenue,,Stop,-36.97739,174.78376,,Bus
1758628.3884,5905880.7793,439431,6667-e85fa3e6,6667,Kingsford Smith Place,,Stop,-36.97983,174.78227,,Bus
1769580.1353,5905340.1638,439432,6671-ac22869c,6671,Dapple Place,,Stop,-36.98279,174.90538,,Bus
1769294.0061,5905147.2055,439433,6673-4ece271e,6673,Hilltop Road,,Stop,-36.98458,174.90221,,Bus
1771826.5747,5913513.004,439434,6677-bc31478b,6677,Morrin Cooper Park,,Stop,-36.90875,174.92875,,Bus
1759307.0195,5910202.0835,439435,6680-035db0ce,6680,Crawford Avenue,,Stop,-36.94078,174.78898,,Bus
1781333.0844,5916525.5869,439436,6682-3a79e3ca,6682,Maraetai Shops,,Stop,-36.87983,175.03468,,Bus
1759346.5171,5910217.9899,439437,6687-c3285fdd,6687,Crawford Avenue,,Stop,-36.94063,174.78942,,Bus
1759252.2119,5908184.2671,439438,6688-f0ea6d02,6688,Tarata Crescent,,Stop,-36.95897,174.78879,,Bus
1759159.3136,5910021.7274,439439,6689-75803485,6689,Mangere Bridge Shops,,Stop,-36.94243,174.78736,,Bus
1759121.5245,5907864.8587,439440,6690-43f7f8c7,6690,Valiant Street,,Stop,-36.96187,174.78739,,Bus
1759226.1142,5909688.625,439441,6691-9b1fea4b,6691,Mangere Bridge School,,Stop,-36.94542,174.78818,,Bus
1759002.9402,5907572.9683,439442,6692-94c836ae,6692,Kirkbride Road,,Stop,-36.96452,174.78612,,Bus
1759326.5495,5909439.2398,439443,6693-3d967634,6693,Te Pane o Mataoho/Mangere Mountain,,Stop,-36.94765,174.78936,,Bus
1759058.588,5910161.2388,439444,6694-05357da5,6694,Coronation Road,,Stop,-36.94119,174.7862,,Bus
1759253.7897,5908220.863,439445,6695-e462ad17,6695,Tarata Crescent,,Stop,-36.95864,174.7888,,Bus
1758672.2246,5910080.7924,439446,6696-cd2c1f47,6696,Scott Avenue,,Stop,-36.94198,174.78188,,Bus
1759094.003,5907822.0902,439447,6697-34931609,6697,Valiant Street,,Stop,-36.96226,174.78709,,Bus
1758338.3698,5910044.8534,439448,6698-d7a03c62,6698,Wallace Road,,Stop,-36.94236,174.77814,,Bus
1759055.7084,5910150.1942,439449,6699-dd754c81,6699,Coronation Road,,Stop,-36.94129,174.78617,,Bus
1758171.8131,5910142.2972,439450,6700-ccfd3143,6700,Kiwi Esplanade,,Stop,-36.94151,174.77625,,Bus
1758594.2485,5910055.6134,439451,6701-ce8e031f,6701,Scott Avenue,,Stop,-36.94222,174.78101,,Bus
1757887.3022,5910268.5692,439452,6702-97ba6a7a,6702,Seaforth Avenue,,Stop,-36.94042,174.77303,,Bus
1758351.4589,5910030.181,439453,6703-020eddca,6703,Wallace Road,,Stop,-36.94249,174.77829,,Bus
1757434.3051,5910149.3516,439454,6704-f45bcd9d,6704,Yorkton Rise,,Stop,-36.94157,174.76797,,Bus
1758130.2255,5910157.5003,439455,6705-b5d649c4,6705,Kiwi Esplanade,,Stop,-36.94138,174.77578,,Bus
1758027.7059,5909723.2366,439456,6706-e2e5a802,6706,Sullivan Avenue,,Stop,-36.94531,174.77472,,Bus
1757915.656,5910260.2727,439457,6707-8556ab31,6707,Seaforth Avenue,,Stop,-36.94049,174.77335,,Bus
1757791.358,5909851.9386,439458,6708-833d9a1c,6708,Ambury Road,,Stop,-36.94419,174.77204,,Bus
1757425.2143,5910139.5315,439459,6709-e1bf3f49,6709,Yorkton Rise,,Stop,-36.94166,174.76787,,Bus
1757520.1896,5909976.8407,439460,6710-c4c2ec2e,6710,Ashcroft Avenue,,Stop,-36.94311,174.76897,,Bus
1758071.9631,5909707.9842,439461,6711-0394cacb,6711,Sullivan Avenue,,Stop,-36.94544,174.77522,,Bus
1758172.8639,5909577.3605,439462,6712-c331bd55,6712,Taylor Road,,Stop,-36.9466,174.77638,,Bus
1757766.8357,5909874.5917,439463,6713-82b85b19,6713,Ambury Road,,Stop,-36.94399,174.77176,,Bus
1758200.7261,5909160.6443,439464,6714-f5d8c53b,6714,Wellesley Road,,Stop,-36.95035,174.77678,,Bus
