room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18980227,1467,132155609,Private room,,Auckland,,Crum Park,0,0.0,2,1.0,,33.0,,Lions / All black supporters welcome !,2017-07-19 00:25:33.713119,-36.919844,174.66022,0101000020E61000004985B18520D56540FEB5BC72BD7542C0
16040808,1467,24804495,Private room,,Auckland,,Oratia,2,0.0,1,1.0,,27.0,,Nice king single room in a lovely home.,2017-07-19 00:25:32.113451,-36.912308,174.626837,0101000020E610000087DD770C0FD4654089F02F82C67442C0
16205045,1467,14696696,Private room,,Auckland,,Glendene South,3,5.0,2,1.0,,34.0,,"Cosy Room with a clean, comfortable  bed",2017-07-19 00:25:32.103067,-36.897867,174.656461,0101000020E61000002FC37FBA01D565402D944C4EED7242C0
3042994,1467,6496460,Private room,,Auckland,,Parrs Park West,26,5.0,2,1.0,,38.0,,Designer room,2017-07-19 00:25:32.099333,-36.897999,174.626021,0101000020E61000007F33315D08D465409C6B98A1F17242C0
17468440,1467,101533264,Private room,,Auckland,,Glen Eden East,1,0.0,1,1.0,,26.0,,Handy location quiet single room,2017-07-19 00:25:32.093889,-36.909738,174.657044,0101000020E61000000F81238106D56540D7F6764B727442C0
19533266,1467,3404235,Private room,,Auckland,,Glen Eden East,0,0.0,2,1.0,,40.0,,A place to feel at home.,2017-07-19 00:25:32.088198,-36.911719,174.659641,0101000020E6100000394371C71BD5654027124C35B37442C0
15836090,1467,96593900,Private room,,Auckland,,Tangutu,9,4.0,2,1.0,,23.0,,Warm cosy house Room 2,2017-07-19 00:25:32.082453,-36.91268,174.638666,0101000020E610000026E2ADF36FD465404DDBBFB2D27442C0
18335430,1467,126857958,Private room,,Auckland,,Glen Eden East,0,0.0,2,1.0,,34.0,,Cosy living house,2017-07-19 00:25:32.078561,-36.914645,174.655105,0101000020E610000046CEC29EF6D4654097395D16137542C0
13478023,1467,56931718,Private room,,Auckland,,Glendene North,15,5.0,1,1.0,,27.0,,Glendene Glory,2017-07-19 00:25:30.312223,-36.892857,174.647824,0101000020E61000000CB265F9BAD4654099805F23497242C0
17849435,1467,101750114,Private room,,Auckland,,Woodglen,3,5.0,2,1.0,,24.0,,Home Among the Trees Queen Room,2017-07-19 00:25:30.310081,-36.913779,174.644177,0101000020E6100000BC7A15199DD46540C362D4B5F67442C0
12892224,1467,70586929,Private room,,Auckland,,Glen Eden East,8,4.0,2,2.0,,27.0,,Peaceful garden private room with city convenience,2017-07-19 00:25:30.293924,-36.908036,174.65798,0101000020E610000082AD122C0ED565409BCB0D863A7442C0
13338180,1467,73286110,Private room,,Auckland,,Parrs Park West,3,4.5,2,1.0,,19.0,,Private bedroom,2017-07-19 00:25:28.624499,-36.900366,174.630694,0101000020E610000012F92EA52ED4654015376E313F7342C0
8314528,1467,43836611,Private room,,Auckland,,Tangutu,24,5.0,2,1.0,,34.0,,Friendly Home Next to Park,2017-07-19 00:25:28.621509,-36.914214,174.634855,0101000020E610000077D66EBB50D46540CEC5DFF6047542C0
17653627,1467,31697921,Private room,,Auckland,,New Lynn South,2,0.0,2,1.0,,38.0,,"Simple, Cheap and Friendly Private Room w Car Park",2017-07-19 00:25:28.618276,-36.904704,174.670347,0101000020E6100000183F8D7B73D56540BB473657CD7342C0
15836074,1467,96593900,Private room,,Auckland,,Tangutu,3,5.0,2,1.0,,23.0,,Comfy sunny room,2017-07-19 00:25:28.610409,-36.912548,174.637228,0101000020E61000000E83F92B64D46540DE03745FCE7442C0
16919484,1467,97893364,Private room,,Auckland,,Woodglen,3,4.5,2,1.0,,41.0,,Warm sunny private sleep-out with ensuite,2017-07-19 00:25:28.607851,-36.911992,174.646051,0101000020E61000008A912573ACD46540581B6327BC7442C0
18181643,1467,125272869,Private room,,Auckland,,Crum Park,1,0.0,2,1.0,,38.0,,Rainforest retreat,2017-07-19 00:25:26.543544,-36.924741,174.663953,0101000020E610000098A25C1A3FD565409A22C0E95D7642C0
15010296,1467,94723244,Private room,,Auckland,,Lynfield South,2,0.0,2,1.0,,38.0,,THE BLISS - ROOM FOR ONE OR TWO,2017-07-19 00:25:24.041977,-36.923705,174.713702,0101000020E6100000E0A293A5D6D665406A1327F73B7642C0
2368209,1467,7274089,Private room,,Auckland,,Avondale South,2,0.0,1,1.0,,38.0,,1 fully furnished room,2017-07-19 00:25:11.811767,-36.913537,174.697812,0101000020E610000034D8D47954D66540CD57C9C7EE7442C0
9464470,1467,47215514,Private room,,Auckland,,Blockhouse Bay,5,4.5,2,1.0,,38.0,,"Sunny and quite, queen size bedroom",2017-07-19 00:25:10.360514,-36.920633,174.69569,0101000020E6100000F0C4AC1743D66540274F594DD77542C0
16135165,1467,94284393,Private room,,Auckland,,Fruitvale,3,5.0,2,1.0,,34.0,,Kiwi bach style private sleepout,2017-07-19 00:25:07.881821,-36.917942,174.676034,0101000020E61000007D1F0E12A2D56540FACF9A1F7F7542C0
7422642,1467,5995110,Private room,,Auckland,,Lynnmall,8,4.5,2,2.0,,41.0,,Nice Furn Rooms in Central Auckland,2017-07-19 00:25:07.875380,-36.915654,174.6912,0101000020E6100000D95F764F1ED66540CE397826347542C0
15937526,1467,103437768,Private room,,Auckland,,Fruitvale,5,5.0,2,1.0,,30.0,,PRIVATE ROOM FOR ONE OR TWO,2017-07-19 00:25:07.872585,-36.916518,174.677322,0101000020E610000090DB2F9FACD5654001193A76507542C0
